"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97"
"73",1372,892,1222,1366,1042,982,1510,976,1186,1042,1516,1192,1372,1516,1672,1582,1522,1468,1520,1426,1612,1426,1666,1468,1528,1618,1282,1102,1510,1528,1222,1366,1282,1366,1612,1370,1256,1100,1310,566,1310,1208,884,1064,1064,674,752,566,744,566,506,752,674,654,398,650,744,654,506,398,636,674,644,752,758,758,744,566,524,546,758,378,0,506,674,650,636,674,644,654,674,752,758,546,674,848,506,486,20,674,654,758,744,566,848,486,20
"74",1169,628,964,1396,784,772,1540,1006,1216,784,1306,989,1169,1306,1469,1318,1264,1210,1324,1162,1642,1162,1696,1210,1264,1408,1018,838,1540,1264,964,1108,1018,1108,1642,1600,1510,1354,1552,820,1540,1438,1126,1294,1294,168,380,276,272,296,108,258,188,296,108,374,266,296,20,128,380,296,380,366,366,484,380,296,754,296,374,128,506,0,168,366,374,276,366,188,276,272,266,296,188,568,128,128,486,296,188,258,374,276,562,20,506
"75",1103,640,874,1435,694,784,1579,1045,1255,694,1318,923,1103,1318,1403,1330,1174,1120,1414,1174,1681,1174,1735,1120,1276,1420,1030,850,1579,1276,874,1018,1030,1018,1681,1684,1594,1438,1636,904,1624,1522,1210,1378,1378,168,296,276,188,296,276,90,272,296,276,374,266,380,188,296,296,380,296,198,198,568,296,380,838,296,374,296,674,168,0,198,374,276,198,188,108,188,266,380,188,484,296,296,654,296,272,90,374,108,562,188,674
"76",917,466,676,1255,496,610,1399,865,1075,496,1144,737,917,1144,1217,1156,976,922,1234,1000,1501,1000,1555,922,1102,1246,856,676,1399,1102,676,820,856,820,1501,1516,1402,1246,1456,712,1456,1354,1030,1210,1210,366,296,258,206,98,366,198,374,296,258,272,296,296,374,266,98,374,188,198,108,400,206,266,670,188,380,272,650,366,198,0,188,366,90,296,198,296,380,188,206,310,374,380,636,206,296,108,296,90,400,380,644
"77",910,292,682,1129,502,436,1273,739,949,502,970,730,910,970,1210,982,982,928,1142,826,1375,826,1429,928,928,1072,682,502,1273,928,682,826,682,826,1375,1418,1304,1148,1358,614,1358,1256,932,1112,1112,206,296,98,198,188,374,380,296,366,266,98,108,198,380,272,90,296,188,380,296,302,198,188,572,258,206,258,636,374,374,188,0,206,272,366,374,296,206,90,296,302,380,366,644,296,198,296,108,266,212,366,650
"78",1103,484,886,1324,706,628,1468,934,1144,706,1162,923,1103,1162,1403,1174,1186,1132,1336,1018,1570,1018,1624,1132,1120,1264,874,694,1468,1120,886,1030,874,1030,1570,1612,1510,1354,1540,820,1552,1450,1114,1306,1306,108,188,108,296,380,168,366,296,272,276,206,206,188,296,296,296,188,296,258,258,496,188,296,766,380,98,296,674,276,276,366,206,0,366,380,168,296,206,296,380,496,188,188,654,272,296,366,98,276,406,296,674
"79",1001,544,766,1327,586,688,1471,937,1147,586,1222,821,1001,1222,1301,1234,1066,1012,1306,1078,1573,1078,1627,1012,1180,1324,934,754,1471,1180,766,910,934,910,1573,1594,1480,1324,1534,790,1534,1432,1108,1288,1288,366,206,258,296,188,366,108,296,206,258,188,380,374,380,272,188,296,98,108,198,478,296,188,748,98,296,266,644,366,198,90,272,366,0,206,198,206,296,266,296,400,380,374,636,296,374,198,380,90,484,374,650
"80",1168,634,946,1384,766,778,1528,994,1204,766,1312,988,1168,1312,1468,1324,1246,1192,1316,1168,1630,1168,1684,1192,1270,1414,1024,844,1528,1270,946,1090,1024,1090,1630,1580,1490,1334,1532,800,1520,1418,1106,1274,1274,272,206,380,258,380,296,98,188,108,296,296,258,276,188,296,366,296,206,206,296,464,366,296,734,108,296,276,654,188,188,296,366,380,206,0,296,98,188,276,272,554,296,276,674,380,168,188,366,296,554,168,674
"81",1103,640,874,1435,694,784,1579,1045,1255,694,1318,923,1103,1318,1403,1330,1174,1120,1414,1174,1681,1174,1735,1120,1276,1420,1030,850,1579,1276,874,1018,1030,1018,1681,1696,1594,1438,1624,904,1636,1534,1198,1390,1390,276,188,276,296,296,168,198,380,188,276,374,374,272,296,296,296,272,296,90,90,580,188,380,850,296,266,296,674,276,108,198,374,168,198,296,0,296,374,380,296,496,188,188,654,188,380,198,266,108,574,296,674
"82",1186,575,959,1400,779,719,1544,1010,1220,779,1253,1006,1186,1253,1486,1265,1259,1205,1414,1109,1646,1109,1700,1205,1211,1355,965,785,1544,1211,959,1103,965,1103,1646,1678,1588,1432,1630,898,1618,1516,1204,1372,1372,188,108,296,272,366,380,98,90,206,380,198,188,374,258,366,380,198,108,206,296,562,380,198,832,206,198,374,752,272,188,296,296,296,206,98,296,0,90,374,258,568,366,374,758,366,266,188,296,296,484,266,744
