"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72"
"48",27005,25817,24025,26853,25665,24177,26853,30247,27005,25525,30325,24025,26713,32877,32647,31237,31007,31159,23885,30399,32799,31085,24177,25665,24037,26865,30477,25817,14182,15910,14334,16062,16614,18494,16766,18342,4750,10798,4598,2318,11770,9186,9338,9906,10058,9770,12130,0,152,12282,10950,11618,11818,2166,9618,11186,11666,11306,11338,11154,2432,2584,20734,20582,22162,21280,22310,21058,21210,21428,21940,22092
"49",26853,25665,24177,27005,25817,24025,27005,30399,26853,25677,30477,24177,26865,32725,32799,31085,31159,31007,24037,30247,32647,31237,24025,25817,23885,26713,30325,25665,14334,16062,14182,15910,16766,18342,16614,18494,4598,10950,4750,2166,11618,9338,9186,10058,9906,9618,12282,152,0,12130,10798,11770,11666,2318,9770,11338,11818,11154,11186,11306,2584,2432,20582,20734,22314,21432,22462,21210,21058,21580,22092,21940
"50",34691,33503,32015,34843,33655,31863,34843,37609,34691,33643,37687,32015,34831,39935,40009,38295,38369,38217,32003,37457,39857,38447,31863,33655,31851,34679,37535,33503,26464,24736,26312,24584,24032,22152,23880,22304,7532,4708,7684,9964,512,3096,2944,2792,2640,2608,152,12282,12130,0,4556,664,560,10116,2760,1768,712,1072,1616,1224,9850,9698,25646,25798,26656,25774,26804,25552,25400,25922,26434,26282
"51",32176,30988,29500,32328,31140,29348,32328,34966,32176,31000,35044,29500,32188,37292,37366,35652,35726,35574,29360,34814,37214,35804,29348,31140,29208,32036,34892,30988,25132,23404,24980,23252,27564,25684,27412,25836,11064,152,11216,8632,4044,1764,1612,2484,2332,2044,4708,10950,10798,4556,0,4196,4092,8784,2196,3764,4244,3580,3612,3732,13382,13230,21090,21242,22100,21218,22248,20996,20844,21366,21878,21726
"52",34331,33143,31351,34179,32991,31503,34179,36945,34331,32979,37023,31351,34167,39575,39345,37935,37705,37857,31339,37097,39497,37783,31503,32991,31491,34319,37175,33143,25800,24072,25952,24224,23368,21792,23520,21640,7172,4044,7020,9604,152,2432,2584,2384,2536,2248,512,11618,11770,664,4196,0,1224,9452,2096,1616,1072,712,1768,560,9186,9338,25286,25134,25992,25110,26140,24888,25040,25258,25770,25922
"53",34271,33083,31595,34423,33235,31443,34423,37049,34271,33083,37127,31595,34271,39375,39449,37735,37809,37657,31443,36897,39297,37887,31443,33235,31291,34119,36975,33083,26000,24272,25848,24120,24592,22712,24440,22864,8092,4244,8244,9500,1072,2632,2480,2232,2080,2048,712,11818,11666,560,4092,1224,0,9652,2200,1208,152,512,1056,664,10410,10258,25182,25334,26192,25310,26340,25088,24936,25458,25970,25818
"54",29171,27983,26191,29019,27831,26343,29019,32413,29171,27691,32491,26191,28879,35043,34813,33403,33173,33325,26051,32565,34965,33251,26343,27831,26203,29031,32643,27983,16348,18076,16500,18228,18780,20660,18932,20508,2584,8632,2432,152,9604,7020,7172,7740,7892,7604,9964,2166,2318,10116,8784,9452,9652,0,7452,9020,9500,9140,9172,8988,4598,4750,19290,19138,19996,19114,20144,18892,19044,19262,19774,19926
"55",33179,31991,30199,33027,31839,30351,33027,35653,33179,31687,35731,30199,32875,38283,38053,36643,36413,36565,30047,35805,38205,36491,30351,31839,30199,33027,35883,31991,23800,22072,23952,22224,25464,23888,25616,23736,9268,2044,9116,7604,2248,432,584,288,440,152,2608,9618,9770,2760,2196,2096,2200,7452,0,1568,2048,1688,1720,1536,11282,11434,23286,23134,23992,23110,24140,22888,23040,23258,23770,23922
"56",34211,33023,31231,34059,32871,31383,34059,36685,34211,32719,36763,31231,33907,39315,39085,37675,37445,37597,31079,36837,39237,37523,31383,32871,31231,34059,36915,33023,25368,23640,25520,23792,24984,23408,25136,23256,8788,3612,8636,9172,1768,2000,2152,1280,1432,1720,1616,11186,11338,1768,3764,1616,1208,9020,1568,0,1056,1208,152,1056,10802,10954,24854,24702,25560,24678,25708,24456,24608,24826,25338,25490
"57",34423,33235,31443,34271,33083,31595,34271,36897,34423,32931,36975,31443,34119,39527,39297,37887,37657,37809,31291,37049,39449,37735,31595,33083,31443,34271,37127,33235,25848,24120,26000,24272,24440,22864,24592,22712,8244,4092,8092,9652,1224,2480,2632,2080,2232,2200,560,11666,11818,712,4244,1072,152,9500,2048,1056,0,664,1208,512,10258,10410,25334,25182,26040,25158,26188,24936,25088,25306,25818,25970
"58",33759,32571,31083,33911,32723,30931,33911,36537,33759,32571,36615,31083,33759,38863,38937,37223,37297,37145,30931,36385,38785,37375,30931,32723,30779,33607,36463,32571,25488,23760,25336,23608,24080,22200,23928,22352,7580,3732,7732,8988,560,2120,1968,1976,1824,1536,1224,11306,11154,1072,3580,712,512,9140,1688,1208,664,0,1056,152,9898,9746,24670,24822,25680,24798,25828,24576,24424,24946,25458,25306
"59",34059,32871,31383,34211,33023,31231,34211,36837,34059,32871,36915,31383,34059,39163,39237,37523,37597,37445,31231,36685,39085,37675,31231,33023,31079,33907,36763,32871,25520,23792,25368,23640,25136,23256,24984,23408,8636,3764,8788,9020,1616,2152,2000,1432,1280,1568,1768,11338,11186,1616,3612,1768,1056,9172,1720,152,1208,1056,0,1208,10954,10802,24702,24854,25712,24830,25860,24608,24456,24978,25490,25338
"60",33911,32723,30931,33759,32571,31083,33759,36385,33911,32419,36463,30931,33607,39015,38785,37375,37145,37297,30779,36537,38937,37223,31083,32571,30931,33759,36615,32723,25336,23608,25488,23760,23928,22352,24080,22200,7732,3580,7580,9140,712,1968,2120,1824,1976,1688,1072,11154,11306,1224,3732,560,664,8988,1536,1056,512,152,1208,0,9746,9898,24822,24670,25528,24646,25676,24424,24576,24794,25306,25458
"61",27737,26549,24757,27585,26397,24909,27585,31107,27737,26385,31185,24757,27573,33737,33507,32097,31867,32019,24745,31259,33659,31945,24909,26397,24897,27725,31337,26549,16614,18342,16766,18494,14182,16062,14334,15910,2318,13230,2166,4750,9338,11618,11770,11570,11722,11434,9698,2432,2584,9850,13382,9186,10410,4598,11282,10802,10258,9898,10954,9746,0,152,23166,23014,24594,23712,24742,23490,23642,23860,24372,24524
