"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135"
"31",26,28,28,26,26,24,26,26,28,32,30,30,24,28,32,30,28,30,30,30,28,28,26,24,24,26,20,24,24,24,0,24,28,10,24,28,6,26,24,20,8,22,32,8,22,26,10,30,28,28,26,4,22,22,32,24,30,28,10,30,8,28,12,24,28,24,28,20,20,8,26,24,24,26,16,30,26,28,28,38,36,6,32,32,22,26,28,32,16,28,26,28,36,44,40,6,10,14,14,12,12,16,8,14,14,10,12,14,16,14,16,8,12,18,14,16,16,14,18,8,20,14,12,20,8,20,10,12,16,16,14,16,14,10,10
"32",24,24,26,32,28,26,30,26,30,26,28,26,24,28,32,24,30,30,30,26,28,26,30,32,24,26,24,26,28,24,24,0,30,6,26,30,8,24,26,26,8,24,28,18,20,22,16,28,26,30,28,10,28,26,30,30,30,28,8,34,18,24,12,28,24,24,22,26,18,6,22,28,28,26,18,24,30,30,26,38,36,20,28,28,22,30,28,30,16,28,30,30,34,42,34,20,20,16,16,6,12,12,10,12,8,12,14,14,18,14,20,2,12,14,10,8,16,10,14,6,16,22,10,10,10,14,10,10,8,4,12,10,4,14,6
"33",28,28,26,26,22,24,24,24,30,26,28,26,22,26,24,22,22,28,24,30,20,24,26,26,30,32,24,24,24,34,28,30,0,20,24,28,10,24,24,22,10,26,30,20,22,18,10,30,28,28,26,8,24,28,28,26,28,24,18,36,12,30,8,28,26,20,26,22,22,4,28,28,22,26,28,20,28,28,30,34,34,18,36,32,24,26,26,30,20,28,28,32,34,40,38,20,16,14,14,4,14,16,10,14,12,18,10,14,14,20,10,12,16,10,16,14,6,16,16,12,2,16,16,14,12,10,10,12,8,12,14,14,12,8,6
"34",28,28,6,4,10,8,8,10,4,8,6,8,2,12,6,8,6,8,8,8,2,6,18,18,18,6,8,8,22,14,10,6,20,0,26,30,8,22,22,28,18,24,26,18,22,26,6,26,34,34,28,10,22,20,26,28,26,24,16,28,6,30,20,28,26,22,30,28,18,8,28,30,30,22,30,30,30,28,24,36,34,16,30,28,22,32,28,30,20,24,30,30,32,40,42,4,12,16,22,10,16,4,8,8,10,14,8,10,12,16,16,10,14,18,16,16,6,12,10,12,6,18,12,12,14,8,10,14,10,12,14,8,12,8,6
"35",22,18,18,32,30,30,28,26,26,24,26,30,30,32,32,30,28,30,36,34,32,30,32,30,28,28,30,26,24,26,24,26,24,26,0,28,4,24,26,18,10,28,22,8,20,20,6,28,24,30,24,18,26,20,28,24,24,28,14,30,6,20,20,30,24,22,28,18,24,20,18,30,22,24,28,22,26,26,26,34,32,10,34,32,26,28,14,34,18,26,26,32,30,38,40,18,14,12,12,8,12,20,10,16,8,10,18,14,16,18,14,6,14,16,8,6,8,12,16,12,14,16,14,14,16,20,14,8,16,14,6,10,12,10,8
"36",28,26,30,32,30,28,32,30,32,28,30,30,24,32,32,26,30,30,30,26,30,28,34,32,24,28,28,28,30,26,28,30,28,30,28,0,6,24,30,22,10,30,28,6,24,22,16,28,22,32,28,18,22,20,26,20,26,28,12,28,14,24,16,26,24,22,28,22,28,22,22,28,22,26,30,26,28,28,30,38,30,10,32,36,22,32,16,30,18,22,28,28,30,40,38,6,14,16,14,12,10,14,12,8,12,10,20,10,24,6,8,8,16,16,14,6,14,8,18,8,16,10,14,16,6,14,14,14,14,10,8,12,8,14,6
"37",26,24,26,28,34,30,32,28,24,30,26,26,26,30,24,32,24,24,30,28,30,36,26,24,28,34,30,32,30,28,6,8,10,8,4,6,0,26,22,24,6,28,24,10,26,20,16,22,26,28,28,24,26,30,24,26,26,26,34,30,18,26,16,28,22,28,28,24,22,20,24,26,28,22,28,24,28,30,26,40,30,6,34,26,28,26,16,36,14,30,28,34,32,38,40,4,16,18,14,18,10,14,12,18,14,10,8,10,18,6,14,6,18,10,16,12,14,12,16,8,18,12,12,18,16,20,10,10,20,14,10,14,12,16,12
"38",6,8,10,8,6,4,4,4,6,8,8,4,6,16,20,24,8,8,12,20,12,10,8,20,20,22,20,28,24,26,26,24,24,22,24,24,26,0,28,24,18,26,24,20,26,24,16,30,32,28,30,10,22,24,24,22,28,26,30,32,18,26,32,30,24,24,30,24,20,8,24,28,26,28,26,26,22,28,32,32,32,10,28,28,32,28,10,26,16,30,22,38,26,38,40,8,12,16,16,12,4,18,8,12,12,8,10,8,16,18,12,16,14,18,20,14,16,12,20,8,14,14,14,12,14,18,6,14,20,10,10,6,8,12,8
"39",30,28,28,22,26,30,28,26,28,28,28,26,26,24,22,22,24,18,22,22,22,22,22,24,30,26,24,28,24,28,24,26,24,22,26,30,22,28,0,28,18,30,24,14,24,18,16,30,28,36,30,8,24,26,26,22,32,22,32,28,18,26,30,28,24,26,28,28,24,10,24,34,28,30,24,24,30,34,36,34,26,36,36,28,26,36,4,30,16,22,30,34,30,38,40,8,16,22,10,10,12,10,10,16,12,12,18,18,16,18,12,8,16,16,18,14,16,14,20,8,12,10,8,16,10,20,12,4,16,14,10,8,14,14,10
"40",28,28,24,26,24,28,30,22,24,22,24,26,22,22,26,26,24,24,20,22,22,22,28,24,26,24,20,24,22,20,20,26,22,28,18,22,24,24,28,0,18,28,28,8,28,26,30,24,30,34,26,14,22,24,22,22,30,24,32,28,28,22,30,30,26,24,26,30,24,10,20,32,34,20,26,28,30,30,24,32,30,38,28,30,24,32,6,32,16,22,30,32,30,32,38,2,18,10,14,10,10,14,14,16,12,18,22,12,22,12,14,8,8,10,8,12,6,18,10,10,14,8,14,20,10,22,10,16,14,12,24,20,12,8,8
"41",30,22,22,22,32,26,28,26,26,8,4,8,6,4,6,6,6,2,8,8,8,4,4,4,10,2,6,18,18,20,8,8,10,18,10,10,6,18,18,18,0,30,22,8,24,18,28,28,28,32,26,18,20,24,20,26,30,24,30,32,28,24,28,28,30,20,26,22,24,22,22,30,24,28,28,22,24,32,26,34,30,38,28,30,28,32,8,32,24,24,24,36,30,34,38,12,16,16,12,10,10,16,18,20,10,10,20,14,26,12,16,14,16,8,14,10,12,6,8,10,16,14,12,16,12,22,6,12,18,8,14,14,6,10,8
"42",18,30,28,28,26,24,24,22,24,28,28,30,30,28,26,28,34,32,30,28,30,28,26,26,28,24,22,24,22,24,22,24,26,24,28,30,28,26,30,28,30,0,30,16,26,18,28,28,26,32,26,8,24,8,22,20,24,24,30,32,28,26,26,26,28,24,24,22,20,14,24,28,22,28,26,24,28,28,28,36,30,36,34,26,28,30,36,36,20,22,28,34,30,36,36,14,20,16,16,16,14,18,12,18,12,8,18,16,24,6,12,16,10,6,16,10,12,10,12,10,16,14,14,18,16,16,2,8,8,12,14,8,10,10,6
"43",26,28,28,22,30,30,24,28,28,28,24,28,26,32,30,22,26,26,26,28,24,26,28,26,28,26,24,22,24,26,32,28,30,26,22,28,24,24,24,28,22,30,0,20,24,24,26,28,8,30,24,10,28,10,20,28,28,32,28,30,26,24,26,24,28,22,24,22,22,12,22,30,26,28,32,28,28,28,36,32,30,32,32,26,28,30,34,38,20,24,28,34,30,32,34,18,14,16,14,18,12,14,10,20,16,10,14,16,16,18,12,16,8,8,18,8,14,14,10,12,14,16,14,10,14,20,6,16,14,12,6,10,10,10,12
"44",22,22,28,26,28,34,24,22,26,32,28,30,28,26,4,8,6,6,6,10,2,10,4,8,6,4,4,8,6,8,8,18,20,18,8,6,10,20,14,8,8,16,20,0,26,22,24,24,12,32,28,12,20,4,22,20,32,26,30,30,24,26,24,26,22,20,22,32,24,8,24,28,32,24,28,24,28,36,28,32,30,30,34,30,24,30,36,30,18,20,28,32,32,32,34,14,16,8,22,12,14,2,2,14,6,12,10,18,16,10,12,14,12,12,10,10,10,18,12,6,16,8,8,18,14,24,16,14,10,12,6,14,12,2,8
"45",20,20,26,26,26,24,22,20,18,20,24,24,26,26,24,22,24,30,28,28,24,28,24,22,22,24,22,18,20,18,22,20,22,22,20,24,26,26,24,28,24,26,24,26,0,24,24,28,8,30,34,20,26,6,20,20,30,28,30,26,22,24,26,28,26,20,24,26,20,18,22,26,28,24,30,30,24,34,30,36,32,28,40,30,26,28,36,32,14,24,24,34,38,34,36,14,16,16,18,10,12,14,10,16,4,8,6,14,10,18,12,16,8,16,20,10,14,12,16,10,18,12,6,14,18,12,22,12,6,14,12,18,12,8,8
