'hits','time','dataset','length'
9,0.218761920928955,"Vinther2008.nex",76
9,0.281268119812012,"Vinther2008.nex",76
10,0.524460077285767,"Vinther2008.nex",76
14,0.687536954879761,"Vinther2008.nex",76
8,0.312519073486328,"Vinther2008.nex",76
200,7.93731284141541,"Vinther2008.nex",76
8,0.437522888183594,"Vinther2008.nex",76
12,0.84089183807373,"Vinther2008.nex",76
11,0.597062110900879,"Vinther2008.nex",76
40,2.1094868183136,"Vinther2008.nex",76
2,0.0312550067901611,"Vinther2008.nex",76
10,0.515653848648071,"Vinther2008.nex",76
100,3.39008092880249,"Vinther2008.nex",76
5,0.140635013580322,"Vinther2008.nex",76
3,0.0781319141387939,"Vinther2008.nex",76
25,1.12506008148193,"Vinther2008.nex",76
15,0.328144073486328,"Vinther2008.nex",76
15,0.671911954879761,"Vinther2008.nex",76
7,0.375022888183594,"Vinther2008.nex",76
200,8.1254289150238,"Vinther2008.nex",76
10,0.296892881393433,"Vinther2008.nex",76
10,0.632833003997803,"Vinther2008.nex",76
60,1.47790002822876,"Vinther2008.nex",76
2,0.0625059604644775,"Vinther2008.nex",76
6,0.299077033996582,"Vinther2008.nex",76
100,3.59337902069092,"Vinther2008.nex",76
16,0.671910047531128,"Vinther2008.nex",76
11,0.328143119812012,"Vinther2008.nex",76
40,1.23454785346985,"Vinther2008.nex",76
5,0.140634059906006,"Vinther2008.nex",76
11,0.645802021026611,"Vinther2008.nex",76
5,0.166353940963745,"Vinther2008.nex",76
12,1.45320200920105,"Vinther2008.nex",76
7,0.390648126602173,"Vinther2008.nex",76
3,0.15625786781311,"Vinther2008.nex",76
8,0.75085711479187,"Vinther2008.nex",76
10,0.47357702255249,"Vinther2008.nex",76
100,4.07275295257568,"Vinther2008.nex",76
12,0.812543869018555,"Vinther2008.nex",76
16,0.5469069480896,"Vinther2008.nex",76
9,1.09380912780762,"Vinther2008.nex",76
16,0.890674829483032,"Vinther2008.nex",76
6,0.312519073486328,"Vinther2008.nex",76
6,0.500026941299438,"Vinther2008.nex",76
5,0.125010967254639,"Vinther2008.nex",76
15,0.718786954879761,"Vinther2008.nex",76
9,0.5781569480896,"Vinther2008.nex",76
200,8.63914394378662,"Vinther2008.nex",76
3,0.173095941543579,"Vinther2008.nex",76
11,1.00065302848816,"Vinther2008.nex",76
14,1.40280199050903,"Vinther2008.nex",76
16,0.718768119812012,"Vinther2008.nex",76
13,0.659831047058105,"Vinther2008.nex",76
3,0.2500159740448,"Vinther2008.nex",76
60,2.35028600692749,"Vinther2008.nex",76
100,3.51731204986572,"Vinther2008.nex",76
14,0.2812659740448,"Vinther2008.nex",76
11,0.390649080276489,"Vinther2008.nex",76
40,2.00065994262695,"Vinther2008.nex",76
8,0.406270980834961,"Vinther2008.nex",76
7,0.296894788742065,"Vinther2008.nex",76
11,0.530831813812256,"Vinther2008.nex",76
2,0.0312528610229492,"Vinther2008.nex",76
13,0.312516927719116,"Vinther2008.nex",76
4,0.0625069141387939,"Vinther2008.nex",76
9,0.671909809112549,"Vinther2008.nex",76
16,0.671910047531128,"Vinther2008.nex",76
13,0.35939621925354,"Vinther2008.nex",76
16,0.6094069480896,"Vinther2008.nex",76
5,0.187509775161743,"Vinther2008.nex",76
7,0.265640020370483,"Vinther2008.nex",76
11,0.406270980834961,"Vinther2008.nex",76
15,0.5937819480896,"Vinther2008.nex",76
5,0.109387874603271,"Vinther2008.nex",76
100,3.8439519405365,"Vinther2008.nex",76
11,1.17153882980347,"Vinther2008.nex",76
9,0.359395980834961,"Vinther2008.nex",76
40,1.71884202957153,"Vinther2008.nex",76
100,4.59370398521423,"Vinther2008.nex",76
14,0.890673875808716,"Vinther2008.nex",76
25,0.873299121856689,"Vinther2008.nex",76
100,3.59612607955933,"Vinther2008.nex",76
25,1.35944795608521,"Vinther2008.nex",76
3,0.046879768371582,"Vinther2008.nex",76
100,2.21487212181091,"Vinther2008.nex",76
15,1.59383893013,"Vinther2008.nex",76
5,0.156259059906006,"Vinther2008.nex",76
25,0.843799114227295,"Vinther2008.nex",76
11,0.637501955032349,"Vinther2008.nex",76
8,0.2812659740448,"Vinther2008.nex",76
2,0.0468790531158447,"Vinther2008.nex",76
40,2.9064040184021,"Vinther2008.nex",76
6,0.140635013580322,"Vinther2008.nex",76
40,1.92197489738464,"Vinther2008.nex",76
10,0.671911954879761,"Vinther2008.nex",76
40,1.36186003684998,"Vinther2008.nex",76
2,0.0468788146972656,"Vinther2008.nex",76
9,0.343770027160645,"Vinther2008.nex",76
5,0.0625050067901611,"Vinther2008.nex",76
13,0.76786994934082,"Vinther2008.nex",76
6,0.189491987228394,"Vinther2008.nex",76
2,0.0781290531158447,"Vinther2008.nex",76
14,0.981051921844482,"Vinther2008.nex",76
60,2.17941188812256,"Vinther2008.nex",76
7,0.195724010467529,"Vinther2008.nex",76
2,0.093757152557373,"Vinther2008.nex",76
7,0.250017881393433,"Vinther2008.nex",76
16,0.546903848648071,"Vinther2008.nex",76
12,0.656284093856812,"Vinther2008.nex",76
10,0.390645027160645,"Vinther2008.nex",76
9,0.203128814697266,"Vinther2008.nex",76
7,0.187514066696167,"Vinther2008.nex",76
16,0.750038862228394,"Vinther2008.nex",76
11,0.781293153762817,"Vinther2008.nex",76
25,1.10943412780762,"Vinther2008.nex",76
14,0.375021934509277,"Vinther2008.nex",76
11,0.296892881393433,"Vinther2008.nex",76
11,0.750060081481934,"Vinther2008.nex",76
40,2.02814483642578,"Vinther2008.nex",76
16,0.610085964202881,"Vinther2008.nex",76
14,0.522593021392822,"Vinther2008.nex",76
7,0.421895980834961,"Vinther2008.nex",76
10,0.593321084976196,"Vinther2008.nex",76
100,3.62519216537476,"Vinther2008.nex",76
16,0.486771106719971,"Vinther2008.nex",76
2,0.0156269073486328,"Vinther2008.nex",76
15,0.389369964599609,"Vinther2008.nex",76
